user_id,review_cnt,avg_score,low_score_rate,active_days,user_tier
539305,1,2.0,1.0,1,high_risk
539100,1,2.0,1.0,1,high_risk
576111,1,2.0,1.0,1,high_risk
538180,1,2.0,1.0,1,high_risk
575004,1,2.0,1.0,1,high_risk
539634,1,2.0,1.0,1,high_risk
54020,1,2.0,1.0,1,high_risk
540117,1,2.0,1.0,1,high_risk
578293,1,2.0,1.0,1,high_risk
535491,1,2.0,1.0,1,high_risk
535222,1,2.0,1.0,1,high_risk
578028,1,2.0,1.0,1,high_risk
537251,1,2.0,1.0,1,high_risk
577354,1,2.0,1.0,1,high_risk
536549,1,2.0,1.0,1,high_risk
537153,1,2.0,1.0,1,high_risk
598004,1,2.0,1.0,1,high_risk
53670,1,2.0,1.0,1,high_risk
545460,1,2.0,1.0,1,high_risk
546017,1,2.0,1.0,1,high_risk
548679,1,2.0,1.0,1,high_risk
548044,1,2.0,1.0,1,high_risk
57166,1,2.0,1.0,1,high_risk
54312,1,2.0,1.0,1,high_risk
543081,1,2.0,1.0,1,high_risk
574242,1,2.0,1.0,1,high_risk
57416,1,2.0,1.0,1,high_risk
597276,1,2.0,1.0,1,high_risk
59332,1,2.0,1.0,1,high_risk
593195,1,2.0,1.0,1,high_risk
542237,1,2.0,1.0,1,high_risk
542174,1,2.0,1.0,1,high_risk
54501,1,2.0,1.0,1,high_risk
543613,1,2.0,1.0,1,high_risk
57346,1,2.0,1.0,1,high_risk
54402,1,2.0,1.0,1,high_risk
424261,1,2.0,1.0,1,high_risk
424427,1,2.0,1.0,1,high_risk
424174,1,2.0,1.0,1,high_risk
425596,1,2.0,1.0,1,high_risk
423184,1,2.0,1.0,1,high_risk
422300,1,2.0,1.0,1,high_risk
422685,1,2.0,1.0,1,high_risk
422564,1,2.0,1.0,1,high_risk
428829,1,2.0,1.0,1,high_risk
42819,1,2.0,1.0,1,high_risk
429596,1,2.0,1.0,1,high_risk
429747,1,2.0,1.0,1,high_risk
429842,1,2.0,1.0,1,high_risk
42655,1,2.0,1.0,1,high_risk
426660,1,2.0,1.0,1,high_risk
427401,1,2.0,1.0,1,high_risk
422258,1,2.0,1.0,1,high_risk
417329,1,2.0,1.0,1,high_risk
418236,1,2.0,1.0,1,high_risk
418312,1,2.0,1.0,1,high_risk
41507,1,2.0,1.0,1,high_risk
414760,1,2.0,1.0,1,high_risk
416331,1,2.0,1.0,1,high_risk
416054,1,2.0,1.0,1,high_risk
421086,1,2.0,1.0,1,high_risk
418822,1,2.0,1.0,1,high_risk
418673,1,2.0,1.0,1,high_risk
418545,1,2.0,1.0,1,high_risk
418562,1,2.0,1.0,1,high_risk
419471,1,2.0,1.0,1,high_risk
419577,1,2.0,1.0,1,high_risk
441232,1,2.0,1.0,1,high_risk
441191,1,2.0,1.0,1,high_risk
442275,1,2.0,1.0,1,high_risk
441709,1,2.0,1.0,1,high_risk
439441,1,2.0,1.0,1,high_risk
439508,1,2.0,1.0,1,high_risk
439535,1,2.0,1.0,1,high_risk
439560,1,2.0,1.0,1,high_risk
439663,1,2.0,1.0,1,high_risk
439791,1,2.0,1.0,1,high_risk
439936,1,2.0,1.0,1,high_risk
440212,1,2.0,1.0,1,high_risk
440222,1,2.0,1.0,1,high_risk
4458,1,2.0,1.0,1,high_risk
445687,1,2.0,1.0,1,high_risk
44566,1,2.0,1.0,1,high_risk
44540,1,2.0,1.0,1,high_risk
442978,1,2.0,1.0,1,high_risk
443004,1,2.0,1.0,1,high_risk
442547,1,2.0,1.0,1,high_risk
442540,1,2.0,1.0,1,high_risk
442637,1,2.0,1.0,1,high_risk
443828,1,2.0,1.0,1,high_risk
443380,1,2.0,1.0,1,high_risk
44360,1,2.0,1.0,1,high_risk
432950,1,2.0,1.0,1,high_risk
434150,1,2.0,1.0,1,high_risk
430706,1,2.0,1.0,1,high_risk
431163,1,2.0,1.0,1,high_risk
434290,1,2.0,1.0,1,high_risk
437,1,2.0,1.0,1,high_risk
437191,1,2.0,1.0,1,high_risk
437993,1,2.0,1.0,1,high_risk
438164,1,2.0,1.0,1,high_risk
4364,1,2.0,1.0,1,high_risk
436653,1,2.0,1.0,1,high_risk
435593,1,2.0,1.0,1,high_risk
435821,1,2.0,1.0,1,high_risk
393728,1,2.0,1.0,1,high_risk
393278,1,2.0,1.0,1,high_risk
393996,1,2.0,1.0,1,high_risk
39402,1,2.0,1.0,1,high_risk
394050,1,2.0,1.0,1,high_risk
392946,1,2.0,1.0,1,high_risk
39154,1,2.0,1.0,1,high_risk
39230,1,2.0,1.0,1,high_risk
39469,1,2.0,1.0,1,high_risk
39772,1,2.0,1.0,1,high_risk
395175,1,2.0,1.0,1,high_risk
394737,1,2.0,1.0,1,high_risk
394918,1,2.0,1.0,1,high_risk
39617,1,2.0,1.0,1,high_risk
395645,1,2.0,1.0,1,high_risk
395729,1,2.0,1.0,1,high_risk
387111,1,2.0,1.0,1,high_risk
387467,1,2.0,1.0,1,high_risk
387527,1,2.0,1.0,1,high_risk
384201,1,2.0,1.0,1,high_risk
38528,1,2.0,1.0,1,high_risk
385418,1,2.0,1.0,1,high_risk
38990,1,2.0,1.0,1,high_risk
390820,1,2.0,1.0,1,high_risk
388226,1,2.0,1.0,1,high_risk
388487,1,2.0,1.0,1,high_risk
38781,1,2.0,1.0,1,high_risk
388050,1,2.0,1.0,1,high_risk
388077,1,2.0,1.0,1,high_risk
389235,1,2.0,1.0,1,high_risk
38944,1,2.0,1.0,1,high_risk
397910,1,2.0,1.0,1,high_risk
40890,1,2.0,1.0,1,high_risk
409813,1,2.0,1.0,1,high_risk
409305,1,2.0,1.0,1,high_risk
409174,1,2.0,1.0,1,high_risk
406063,1,2.0,1.0,1,high_risk
406075,1,2.0,1.0,1,high_risk
406533,1,2.0,1.0,1,high_risk
408045,1,2.0,1.0,1,high_risk
407542,1,2.0,1.0,1,high_risk
4127,1,2.0,1.0,1,high_risk
41223,1,2.0,1.0,1,high_risk
414289,1,2.0,1.0,1,high_risk
414455,1,2.0,1.0,1,high_risk
414,1,2.0,1.0,1,high_risk
410198,1,2.0,1.0,1,high_risk
411987,1,2.0,1.0,1,high_risk
399912,1,2.0,1.0,1,high_risk
40105,1,2.0,1.0,1,high_risk
40094,1,2.0,1.0,1,high_risk
398191,1,2.0,1.0,1,high_risk
398210,1,2.0,1.0,1,high_risk
40168,1,2.0,1.0,1,high_risk
40425,1,2.0,1.0,1,high_risk
402177,1,2.0,1.0,1,high_risk
402416,1,2.0,1.0,1,high_risk
402068,1,2.0,1.0,1,high_risk
491788,1,2.0,1.0,1,high_risk
493014,1,2.0,1.0,1,high_risk
492760,1,2.0,1.0,1,high_risk
489968,1,2.0,1.0,1,high_risk
490823,1,2.0,1.0,1,high_risk
495467,1,2.0,1.0,1,high_risk
495857,1,2.0,1.0,1,high_risk
496430,1,2.0,1.0,1,high_risk
496654,1,2.0,1.0,1,high_risk
496878,1,2.0,1.0,1,high_risk
494182,1,2.0,1.0,1,high_risk
49426,1,2.0,1.0,1,high_risk
493383,1,2.0,1.0,1,high_risk
493459,1,2.0,1.0,1,high_risk
495039,1,2.0,1.0,1,high_risk
494430,1,2.0,1.0,1,high_risk
49461,1,2.0,1.0,1,high_risk
48396,1,2.0,1.0,1,high_risk
483390,1,2.0,1.0,1,high_risk
484861,1,2.0,1.0,1,high_risk
485051,1,2.0,1.0,1,high_risk
484418,1,2.0,1.0,1,high_risk
484513,1,2.0,1.0,1,high_risk
481265,1,2.0,1.0,1,high_risk
481375,1,2.0,1.0,1,high_risk
481537,1,2.0,1.0,1,high_risk
482626,1,2.0,1.0,1,high_risk
482311,1,2.0,1.0,1,high_risk
482333,1,2.0,1.0,1,high_risk
482408,1,2.0,1.0,1,high_risk
482593,1,2.0,1.0,1,high_risk
4879,1,2.0,1.0,1,high_risk
488140,1,2.0,1.0,1,high_risk
48879,1,2.0,1.0,1,high_risk
485795,1,2.0,1.0,1,high_risk
48523,1,2.0,1.0,1,high_risk
485254,1,2.0,1.0,1,high_risk
510226,1,2.0,1.0,1,high_risk
51061,1,2.0,1.0,1,high_risk
507672,1,2.0,1.0,1,high_risk
507412,1,2.0,1.0,1,high_risk
508516,1,2.0,1.0,1,high_risk
508413,1,2.0,1.0,1,high_risk
51396,1,2.0,1.0,1,high_risk
513949,1,2.0,1.0,1,high_risk
513239,1,2.0,1.0,1,high_risk
513284,1,2.0,1.0,1,high_risk
51344,1,2.0,1.0,1,high_risk
514493,1,2.0,1.0,1,high_risk
511221,1,2.0,1.0,1,high_risk
500990,1,2.0,1.0,1,high_risk
50045,1,2.0,1.0,1,high_risk
501069,1,2.0,1.0,1,high_risk
50125,1,2.0,1.0,1,high_risk
500144,1,2.0,1.0,1,high_risk
5017,1,2.0,1.0,1,high_risk
49806,1,2.0,1.0,1,high_risk
498275,1,2.0,1.0,1,high_risk
49916,1,2.0,1.0,1,high_risk
498617,1,2.0,1.0,1,high_risk
498767,1,2.0,1.0,1,high_risk
498783,1,2.0,1.0,1,high_risk
498823,1,2.0,1.0,1,high_risk
498919,1,2.0,1.0,1,high_risk
505066,1,2.0,1.0,1,high_risk
505106,1,2.0,1.0,1,high_risk
505263,1,2.0,1.0,1,high_risk
502728,1,2.0,1.0,1,high_risk
481225,1,2.0,1.0,1,high_risk
459687,1,2.0,1.0,1,high_risk
4597,1,2.0,1.0,1,high_risk
462535,1,2.0,1.0,1,high_risk
460753,1,2.0,1.0,1,high_risk
449249,1,2.0,1.0,1,high_risk
449160,1,2.0,1.0,1,high_risk
448965,1,2.0,1.0,1,high_risk
446841,1,2.0,1.0,1,high_risk
446436,1,2.0,1.0,1,high_risk
448503,1,2.0,1.0,1,high_risk
447754,1,2.0,1.0,1,high_risk
453532,1,2.0,1.0,1,high_risk
45317,1,2.0,1.0,1,high_risk
453116,1,2.0,1.0,1,high_risk
453274,1,2.0,1.0,1,high_risk
454645,1,2.0,1.0,1,high_risk
454805,1,2.0,1.0,1,high_risk
450822,1,2.0,1.0,1,high_risk
452635,1,2.0,1.0,1,high_risk
452269,1,2.0,1.0,1,high_risk
475046,1,2.0,1.0,1,high_risk
475124,1,2.0,1.0,1,high_risk
476090,1,2.0,1.0,1,high_risk
473489,1,2.0,1.0,1,high_risk
47357,1,2.0,1.0,1,high_risk
472897,1,2.0,1.0,1,high_risk
474210,1,2.0,1.0,1,high_risk
480262,1,2.0,1.0,1,high_risk
479396,1,2.0,1.0,1,high_risk
479556,1,2.0,1.0,1,high_risk
477868,1,2.0,1.0,1,high_risk
477889,1,2.0,1.0,1,high_risk
478003,1,2.0,1.0,1,high_risk
